name,description,type,source_url
"Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.","Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.",attraction,http://www.visittshwane.co.za
"Tshwane is a cultural city with grand architecture, a plethora of museums – both historical and mode","Tshwane is a cultural city with grand architecture, a plethora of museums – both historical and modern – monuments, grand sculptures, bustling markets and vibrant township scenes complemented by up-market fine dining restaurants, street side cafe’s and ultra-modern bustling city shopping centres.",attraction,https://www.visittshwane.co.za/about/
"Tshwane is an African city boasting two nature reserves with big game such as rhino, antelope, lion ","Tshwane is an African city boasting two nature reserves with big game such as rhino, antelope, lion and giraffe close to the city centre and a third, on the city boundaries, boasting the Big 5. Green belts, wetlands and special natural park sanctuaries within the city also cater for birding enthusiasts. Dining options within these reserves abound to satisfy the tastes of the nature lover with a penchant for fine dining.",attraction,https://www.visittshwane.co.za/about/
"Mrs Ples, the nickname for what is considered one of the oldest intact skulls of a distant ancestor ","Mrs Ples, the nickname for what is considered one of the oldest intact skulls of a distant ancestor of humankind, dating back over 2-million-years ago, is housed at the DitsongMuseum of Natural Historyin Pretoria.",attraction,https://www.visittshwane.co.za/about/
"Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.","Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.",attraction,http://www.visittshwane.co.za
Download or request a copy of a comprehensive tourist map for the metropolitan area of Tshwane. The ,"Download or request a copy of a comprehensive tourist map for the metropolitan area of Tshwane. The tourist map includes the location of, and detailed information on, accommodation establishments, attractions, tour operators and guides and other tourism related businesses in the city.",attraction,https://www.visittshwane.co.za/tshwane-tourist-map/
"The tourist map includes the location of, and detailed information on, accommodation establishments,","The tourist map includes the location of, and detailed information on, accommodation establishments, attractions, tour operators and guides and other tourism related businesses in the city. To request printed copy, please complete the request form below, and the map will be sent to you via surface mail.",attraction,https://www.visittshwane.co.za/tshwane-tourist-map-request/
