name,description,type,source_url,ai_sentiment,ai_categories,weather_suitability,enhanced_at
Pretoria National Botanical Garden,This 76 ha urban oasis is a pristine getaway situated in the eastern suburbs of South Africas administrative capital Pretoria The garden which is surrounded by urban development offers a much needed green area and corridor for wildlife in the eastern suburbs of Pretoria The ridge that runs through the garden the natural grassland and lawned areas containing beds of indigenous plants offer a habitat for many animal species,attraction,http://www.visittshwane.co.za,positive,"['historical', 'cultural', 'architecture']","{'sunny': 3, 'rainy': 5, 'cloudy': 3, 'hot': 5, 'cold': 5}",2025-07-04T18:54:07.863348
SANBI National Zoological Garden,The 85-hectare Zoo in Pretoria houses 3117 specimens of 209 mammal species 1358 specimens of 202 bird species 3871 specimens of 190 fish species 388 specimens of 4 invertebrate species 309 specimens of 93 reptile species and 44 specimens of 7 amphibian species The National Zoological Garden of South Africa is the largest zoo in the country and the only one with national status More than 600 000 people visit the Zoo annually,attraction,https://www.visittshwane.co.za/about/,positive,"['historical', 'cultural', 'architecture']","{'sunny': 3, 'rainy': 4, 'cloudy': 3, 'hot': 4, 'cold': 4}",2025-07-04T18:54:07.863348
Ditsong Kruger Museum,The Museum consists of the original house in which S J P Kruger President of the old Zuid-Afrikaansche Republiek ZAR and his family lived during the last years of the 19th century as well as two display halls and President Krugers State Railway Coach The Kruger house built in 1884 was the original home of Paul Kruger President of the former Transvaal Boer Republic The house has been refurbished to reflect the time when the President and his wife Gezina Kruger lived there,attraction,https://www.visittshwane.co.za/about/,positive,"['nature', 'dining', 'shopping']","{'sunny': 5, 'rainy': 4, 'cloudy': 4, 'hot': 4, 'cold': 4}",2025-07-04T18:54:07.863348
Freedom Park SA,Freedom Park celebrates South Africas heritage It is a centre of knowledge aimed at deepening the understanding of the nation It strives to accommodate all of the countrys experiences and symbols to tell one coherent story Freedom Park is a cultural institution housing a museum and a memorial dedicated to chronicling and honouring the many who contributed to South Africas liberation, attraction,https://www.visittshwane.co.za/about/,neutral,"['historical', 'cultural']","{'sunny': 3, 'rainy': 5, 'cloudy': 3, 'hot': 5, 'cold': 5}",2025-07-04T18:54:07.863348
Rietvlei Nature Reserve,Rietvlei Nature Reserve belongs to the City of Tshwane and came into existence due to a water scheme to supply drinking water for the city of Pretoria Rietvlei Nature Reserve is therefore a fairly large nature reserve in an urban setting and covers about 4 000 hectares,attraction,http://www.visittshwane.co.za,positive,"['historical', 'cultural', 'architecture']","{'sunny': 3, 'rainy': 5, 'cloudy': 3, 'hot': 5, 'cold': 5}",2025-07-04T18:54:07.863348
Capital Craft Beer Academy,Craft beers are much more than just a refreshing beverage each beer has a story to tell Our tasty dishes will elaborate on these tales and are designed to complement the spicy taste of barley/wheat and hops It is also part of our mission to educate our clientèle about the brewing process the different types of beer and also to help you discover the rich fragrances aromas and tastes locked away in each beer you order,attraction,https://www.visittshwane.co.za/tshwane-tourist-map/,neutral,[],"{'sunny': 3, 'rainy': 3, 'cloudy': 3, 'hot': 3, 'cold': 3}",2025-07-04T18:54:07.863348
Bill Harrops Balloon Safaris,Bill Harrops Balloon Safaris Is ultimate high in elegance style – hot air ballooning in ancient Magaliesberg Mountain Valley A unique sightseeing tour while you serenely drift with the wind Enjoy a glass a bubbly on landing followed by a full English breakfast,attraction,https://www.visittshwane.co.za/tshwane-tourist-map-request/,neutral,[],"{'sunny': 3, 'rainy': 3, 'cloudy': 3, 'hot': 3, 'cold': 3}",2025-07-04T18:54:07.863348
