name,description,type,source_url,ai_sentiment,ai_categories,weather_suitability,enhanced_at
"Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.","Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.",attraction,http://www.visittshwane.co.za,positive,"['historical', 'cultural', 'architecture']","{'sunny': 3, 'rainy': 5, 'cloudy': 3, 'hot': 5, 'cold': 5}",2025-07-04T18:54:07.863348
"Tshwane is a cultural city with grand architecture, a plethora of museums – both historical and mode","Tshwane is a cultural city with grand architecture, a plethora of museums – both historical and modern – monuments, grand sculptures, bustling markets and vibrant township scenes complemented by up-market fine dining restaurants, street side cafe’s and ultra-modern bustling city shopping centres.",attraction,https://www.visittshwane.co.za/about/,positive,"['historical', 'cultural', 'architecture']","{'sunny': 3, 'rainy': 4, 'cloudy': 3, 'hot': 4, 'cold': 4}",2025-07-04T18:54:07.863348
"Tshwane is an African city boasting two nature reserves with big game such as rhino, antelope, lion ","Tshwane is an African city boasting two nature reserves with big game such as rhino, antelope, lion and giraffe close to the city centre and a third, on the city boundaries, boasting the Big 5. Green belts, wetlands and special natural park sanctuaries within the city also cater for birding enthusiasts. Dining options within these reserves abound to satisfy the tastes of the nature lover with a penchant for fine dining.",attraction,https://www.visittshwane.co.za/about/,positive,"['nature', 'dining', 'shopping']","{'sunny': 5, 'rainy': 4, 'cloudy': 4, 'hot': 4, 'cold': 4}",2025-07-04T18:54:07.863348
"Mrs Ples, the nickname for what is considered one of the oldest intact skulls of a distant ancestor ","Mrs Ples, the nickname for what is considered one of the oldest intact skulls of a distant ancestor of humankind, dating back over 2-million-years ago, is housed at the DitsongMuseum of Natural Historyin Pretoria.",attraction,https://www.visittshwane.co.za/about/,neutral,"['historical', 'cultural']","{'sunny': 3, 'rainy': 5, 'cloudy': 3, 'hot': 5, 'cold': 5}",2025-07-04T18:54:07.863348
"Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.","Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.",attraction,http://www.visittshwane.co.za,positive,"['historical', 'cultural', 'architecture']","{'sunny': 3, 'rainy': 5, 'cloudy': 3, 'hot': 5, 'cold': 5}",2025-07-04T18:54:07.863348
Download or request a copy of a comprehensive tourist map for the metropolitan area of Tshwane. The ,"Download or request a copy of a comprehensive tourist map for the metropolitan area of Tshwane. The tourist map includes the location of, and detailed information on, accommodation establishments, attractions, tour operators and guides and other tourism related businesses in the city.",attraction,https://www.visittshwane.co.za/tshwane-tourist-map/,neutral,[],"{'sunny': 3, 'rainy': 3, 'cloudy': 3, 'hot': 3, 'cold': 3}",2025-07-04T18:54:07.863348
"The tourist map includes the location of, and detailed information on, accommodation establishments,","The tourist map includes the location of, and detailed information on, accommodation establishments, attractions, tour operators and guides and other tourism related businesses in the city. To request printed copy, please complete the request form below, and the map will be sent to you via surface mail.",attraction,https://www.visittshwane.co.za/tshwane-tourist-map-request/,neutral,[],"{'sunny': 3, 'rainy': 3, 'cloudy': 3, 'hot': 3, 'cold': 3}",2025-07-04T18:54:07.863348
