name,description,type
Rosemary Hill,Tourist attraction in Tshwane - Rosemary Hill,accommodation
Royal Elephant Hotel Conference Centre,Tourist attraction in Tshwane - Royal Elephant Hotel Conference Centre,accommodation
Simply Asia Brooklyn Mall,Tourist attraction in Tshwane - Simply Asia Brooklyn Mall,restaurant
SANBI National Zoological Garden,Tourist attraction in Tshwane - SANBI National Zoological Garden,attraction
Siyaya Lodges,Tourist attraction in Tshwane - Siyaya Lodges,accommodation
Southern Sun Pretoria,Tourist attraction in Tshwane - Southern Sun Pretoria,accommodation
Specialist Tours,Tourist attraction in Tshwane - Specialist Tours,service
Spice the Indian Kitchen,Tourist attraction in Tshwane - Spice the Indian Kitchen,restaurant
Spout Coffee Company,Tourist attraction in Tshwane - Spout Coffee Company,restaurant
Square Time Cafe,Tourist attraction in Tshwane - Square Time Cafe,restaurant
STY Regency,Tourist attraction in Tshwane - STY Regency,accommodation
Sundowner Fly Fishing Adventures,Tourist attraction in Tshwane - Sundowner Fly Fishing Adventures,service
Suntaluna Spa Where Body and Mind Are Revitalised,Tourist attraction in Tshwane - Suntaluna Spa Where Body and Mind Are Revitalised,spa
Supreme Travel,Tourist attraction in Tshwane - Supreme Travel,service
Thabiso Guest House,Tourist attraction in Tshwane - Thabiso Guest House,accommodation
Black Bamboo Restaurant,Tourist attraction in Tshwane - Black Bamboo Restaurant,restaurant
the Blades Hotel,Tourist attraction in Tshwane - the Blades Hotel,accommodation
the Blue Crane Restaurant Bar,Tourist attraction in Tshwane - the Blue Crane Restaurant Bar,restaurant
the Catwalk Lodge,Tourist attraction in Tshwane - the Catwalk Lodge,accommodation
the Falling Feather Inn Guest House,Tourist attraction in Tshwane - the Falling Feather Inn Guest House,accommodation
the Godfather Restaurant Midstream,Tourist attraction in Tshwane - the Godfather Restaurant Midstream,restaurant
the Grill Room,Tourist attraction in Tshwane - the Grill Room,restaurant
the Lions Den,Tourist attraction in Tshwane - the Lions Den,restaurant
the Maslow Time Square Hotel,Tourist attraction in Tshwane - the Maslow Time Square Hotel,accommodation
the Park Lodge Hotel Apartments,Tourist attraction in Tshwane - the Park Lodge Hotel Apartments,accommodation
the Regency Apartment Hotel Menlyn,Tourist attraction in Tshwane - the Regency Apartment Hotel Menlyn,accommodation
